,route,route_id,route_dir,route_shor,route_long,ridership,color
191,Q77,Q77,Q77_0,Q77,Laurelton - Jamaica,3882,#d160b0
78,M9,M9,M9_0,M9,Battery Park City - Kips Bay,3857,#d0fb36
79,M9,M9,M9_1,M9,Battery Park City - Kips Bay,3857,#d0fb36
268,BX42,BX42,BX42_1,Bx42,Throgs Neck - River Park Towers,3855,#689fc9
267,BX42,BX42,BX42_0,Bx42,Throgs Neck - River Park Towers,3855,#689fc9
262,BX40,BX40,BX40_1,Bx40,Throgs Neck - River Park Towers,3855,#4c3ff2
261,BX40,BX40,BX40_0,Bx40,Throgs Neck - River Park Towers,3855,#4c3ff2
12,M116,M116,M116_0,M116,West Side - East Harlem,3835,#35fc91
13,M116,M116,M116_1,M116,West Side - East Harlem,3835,#35fc91
163,Q2,Q2,Q2_0,Q2,Queens Village - Jamaica,3827,#eb4696
164,Q2,Q2,Q2_1,Q2,Queens Village - Jamaica,3827,#eb4696
214,BX16,BX16,BX16_1,Bx16,Pelham - Norwood,3744,#dd54c2
213,BX16,BX16,BX16_0,Bx16,Pelham - Norwood,3744,#dd54c2
305,B20,B20,B20_0,B20,Ridgewood - Spring Creek,3573,#ee33fe
306,B20,B20,B20_1,B20,Ridgewood - Spring Creek,3573,#ee33fe
370,B64,B64,B64_1,B64,Bay Ridge - Coney Island,3569,#e34ec3
369,B64,B64,B64_0,B64,Bay Ridge - Coney Island,3569,#e34ec3
235,BX28,BX28,BX28_0,Bx28,Co-op City Section 5 - Fordham Center,3562,#d1a160
255,BX38,BX38,BX38_0,Bx38,Co-op City Bay Plaza - Norwood,3562,#bf6dc4
256,BX38,BX38,BX38_1,Bx38,Co-op City Bay Plaza - Norwood,3562,#bf6dc4
236,BX28,BX28,BX28_1,Bx28,Co-op City Section 5 - Fordham Center,3562,#d1a160
276,BX5,BX5,BX5_1,Bx5,Pelham Bay - West Farms Rd & Southern Blvd,3542,#fe339d
275,BX5,BX5,BX5_0,Bx5,Pelham Bay - West Farms Rd & Southern Blvd,3542,#fe339d
411,B100,B100,B100_1,B100,Mill Basin - Midwood,3517,#89c170
410,B100,B100,B100_0,B100,Mill Basin - Midwood,3517,#89c170
391,B83,B83,B83_1,B83,Spring Creek - Broadway Junction,3513,#bf72ac
390,B83,B83,B83_0,B83,Spring Creek - Broadway Junction,3513,#bf72ac
361,B60,B60,B60_0,B60,Williamsburg - Canarsie,3447,#7dd061
362,B60,B60,B60_1,B60,Williamsburg - Canarsie,3447,#7dd061
440,Q112,Q112,Q112_0,Q112,Liberty Ave,3443,#b958d9
441,Q112,Q112,Q112_1,Q112,Liberty Ave,3443,#b958d9
11,M10,M10,M10_1,M10,Harlem - Columbus Circle,3328,#8479b8
10,M10,M10,M10_0,M10,Harlem - Columbus Circle,3328,#8479b8
283,BX8,BX8,BX8_0,Bx8,Williamsbridge - Locust Point,3317,#e24f4f
284,BX8,BX8,BX8_1,Bx8,Williamsbridge - Locust Point,3317,#e24f4f
65,M72,M72,M72_1,M72,East Side - West Side,3264,#d75aac
64,M72,M72,M72_0,M72,East Side - West Side,3264,#d75aac
