,Route,*,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,,2022-2023 Change,,2023 Rank
181,S48/98,,6700.0,6411.252,3897.0,3316.1955000000003,3219.0249999999996,2898.0,,-321.02499999999964,-0.09972740193070873,130
182,S51/81,,3661.0,3569.9113,2083.0,1785.5908,1894.8383999999999,1779.0,,-115.83839999999987,-0.06113365656934115,153
183,S52,,3119.0,3017.0981,1821.0,1553.3805,1472.6024,1393.0,,-79.60239999999999,-0.054055595726314166,164
184,S53,,8340.0,7876.7672,5209.0,4749.9779,5136.3522,4851.0,,-285.35220000000027,-0.05555541927206632,90
185,S54,,944.0,970.8677,536.0,508.2018,512.1723,463.0,,-49.17229999999995,-0.09600733971751295,181
186,S55,,289.0,276.7997,132.0,133.5624,139.191,148.0,,8.808999999999997,0.06328713781781867,189
187,S56,,448.0,450.5421,209.0,216.5096,238.6707,265.0,,26.32929999999999,0.11031643180331724,187
188,S57,,1183.0,1155.2194,759.0,718.9108,717.0249,691.0,,-26.024900000000002,-0.03629567118240943,179
189,S59,,3065.0,2968.7616,1833.0,1762.4044,1803.6584,1713.0,,-90.65840000000003,-0.05026361976303275,155
190,S61/91,,3931.0,3809.8735,1982.0,1963.8995,2150.7696,2170.0,,19.230399999999918,0.008941171569469792,141
191,S62/92,,3821.0,3653.563,1965.0,1822.2113,2066.9067999999997,2060.0,,-6.906799999999748,-0.0033416117262760705,145
192,S66,,1537.0,1529.7537,705.0,680.2603,767.3571,711.0,,-56.357099999999946,-0.07344312054974138,177
193,S74/84,,4898.0,4816.5947,2798.0,2393.0731,2449.6559,2568.0,,118.3440999999998,0.04831049944606497,137
194,S76/86,,3849.0,3848.1854,2363.0,1944.2174,1961.0676,1745.0,,-216.06760000000008,-0.11017855784267716,154
195,S78,,5411.0,5326.3906,3100.0,2809.0625,2870.2181,2954.0,,83.78189999999995,0.02919008140879606,127
196,S79SBS,,10873.0,10744.2898,6350.0,6569.3276,7328.0331,7415.0,,86.96690000000035,0.011867700215491706,48
197,S89,,583.0,562.432,261.0,234.4308,281.8877,300.0,,18.112300000000005,0.06425360170025157,185
198,S93,,3659.0,4262.1163,1979.0,1921.0251,2833.0078,2697.0,,-136.00779999999986,-0.04800826880886098,136
199,S OTHER,,375.0,629.5563,394.0,868.9068000000001,943.0378999999999,996.0,,,,
200,Staten Is Local,,83949.0,82987.0,48767.0,45149.86609999999,47440.808,44937.0,,-2503.8079999999973,-0.052777515931010224,
201,,,,,,,,,,,,
202,SIM1,6,2089.0,5861.6799,2628.0,2887.4901,3957.0512,4604.0,,646.9488000000001,0.16349265331719745,1
203,SIM2,6,531.0,1367.8401,475.0,472.5771,697.878,858.0,,160.12199999999996,0.22944124904352903,11
204,SIM3,6,768.0,1887.2797,815.0,912.4625,1279.1024,1468.0,,188.8976,0.14767981046709006,8
205,SIM4,6,1282.0,3484.7577,1349.0,1387.8379,2004.3268,2430.0,,425.67319999999995,0.21237714328821025,2
206,SIM5,6,446.0,1140.7378,340.0,327.7945,515.8425,605.0,,89.15750000000003,0.1728386086838522,18
207,SIM6,6,771.0,1846.1823,705.0,759.7312,1066.4803,1233.0,,166.51970000000006,0.15613949924813433,9
208,SIM7,6,393.0,883.4028,283.0,289.4032,456.0945,546.0,,89.90550000000002,0.19712033361507325,19
209,SIM8,6,898.0,2284.3685,850.0,930.1739,1270.9449,1566.0,,295.05510000000004,0.2321541240694227,6
210,SIM9,7,158.0,653.3204,190.0,155.5138,273.2756,320.0,,46.7244,0.17097904093889102,25
211,SIM10,6,1034.0,2015.8226,850.0,1028.0711,1406.1142,1595.0,,188.88580000000002,0.13433176338024325,5
212,SIM11,8,,981.7648,413.0,452.4783,659.6063,759.0,,99.39369999999997,0.15068640187335985,14
