Group Code,Group Name,path,Congregations,Adherents,counties
067,Fellowship of Fundamentalist Bible Churches,christianity.nondenominational.ffbc,15.0,,10.0
346,Fire-Baptized Holiness Church of the Americas,christianity.pentecostal.trinitarian.fbhca,34.0,,22.0
224,Free Church of Scotland (Continuing),christianity.reformed.presbyterian.fcsc,5.0,,5.0
222,Free Presbyterian Church of North America,christianity.reformed.presbyterian.fpcna,12.0,,11.0
FFA,Free Presbyterian Church of Scotland,christianity.reformed.presbyterian.fpcs,1.0,,1.0
227,Free Reformed Churches of North America,christianity.reformed.continental.frcna,2.0,,2.0
F23,Full Gospel Assemblies International,christianity.pentecostal.trinitarian.fgai,49.0,,27.0
388,General Association of Regular Baptist Churches,christianity.baptist.independent.garbc,939.0,,494.0
233,General Church of the New Jerusalem,christianity.swedenborgian.general-church,43.0,,38.0
FGM,Grace Communion International,christianity.adventist.gci,180.0,,171.0
243,Grace Gospel Fellowship,christianity.nondenominational.grace-gospel,108.0,,80.0
FGD,Higher Ground Always Abounding Assemblies,christianity.pentecostal.oneness.higher-ground,72.0,,41.0
247,"Holiness Church Of God, Inc., The",christianity.holiness.hcog,17.0,,14.0
FG9,Holy Catholic Church Anglican Rite,christianity.anglican.continuing.hccar,6.0,,6.0
D92,"House of God, Holy Church of the Living God, The Pillar and Ground of the Truth, House of Prayer for All People",christianity.pentecostal.trinitarian.house-of-god,5.0,,5.0
FE9,International Communion of the Charismatic Episcopal Church,christianity.anglican.continuing.cec,56.0,,54.0
262,International Council of Community Churches,christianity.nondenominational.iccc,57.0,,46.0
256,International Fellowship of Bible Churches,christianity.nondenominational.ifbc,36.0,,31.0
260,International Fellowship of Christian Assemblies,christianity.pentecostal.trinitarian.ifca-assemblies,69.0,,45.0
265,International Pentecostal Church of Christ,christianity.pentecostal.trinitarian.ipcc,49.0,,41.0
268,Jain,jainism,79.0,,75.0
F26,Kentucky Christian Conference,christianity.reformed.congregational.kentucky,35.0,,12.0
FFJ,Laestadian Lutheran Church,christianity.lutheran.laestadian,29.0,,25.0
274,Latvian Evangelical Lutheran Church in America,christianity.lutheran.latvian,12.0,,12.0
D66,Liberal Catholic Church,christianity.catholic.independent.liberal,8.0,,8.0
279,Lumber River Annual Conference of the Holiness Methodist Church,christianity.methodist.holiness.lumber-river,10.0,,2.0
292,Moravian Church in America--Alaska Province,christianity.moravian.alaska,24.0,,4.0
303,National Spiritualist Association of Churches,spiritualism.nsac,63.0,,48.0
307,Netherlands Reformed Congregations,christianity.reformed.continental.nrc,16.0,,14.0
309,New Apostolic Church USA,christianity.other.new-apostolic,187.0,,163.0
308,New Testament Association of Independent Baptist Church,christianity.baptist.independent.ntaibc,119.0,,90.0
313,North American Baptist Conference,christianity.baptist.nabc,270.0,,161.0
314,North American Lutheran Church,christianity.lutheran.nalc,441.0,,291.0
315,North American Old Roman Catholic Church,christianity.catholic.independent.naorcc,9.0,,9.0
F32,North Carolina Congregational Conference,christianity.reformed.congregational.north-carolina,10.0,,6.0
FFH,Old Apostolic Lutheran Church of America,christianity.lutheran.old-apostolic,28.0,,25.0
FGA,Orthodox Anglican Church,christianity.anglican.continuing.oac,19.0,,19.0
FFC,Orthodox Lutheran Confessional Conference,christianity.lutheran.olcc,2.0,,2.0
FFN,Orthodox Old Roman Catholic Communion,christianity.catholic.independent.oorcc,6.0,,5.0
335,Orthodox Presbyterian Church,christianity.reformed.presbyterian.opc,336.0,,262.0
339,Pentecostal Church of God,christianity.pentecostal.trinitarian.pcg,990.0,,498.0
347,"Pentecostal Free Will Baptist Church, Inc.",christianity.baptist.freewill.pentecostal,32.0,,18.0
350,Pillar Ministries,christianity.pentecostal.charismatic.pillar,6.0,,5.0
352,Polish National Catholic Church,christianity.catholic.independent.pncc,97.0,,60.0
354,Presbyterian Reformed Church,christianity.reformed.presbyterian.prc,5.0,,5.0
363,Primitive Methodist Church in the USA,christianity.methodist.primitive,59.0,,30.0
365,Progressive Primitive Baptists,christianity.baptist.primitive.progressive,33.0,,25.0
F41,Reformed Baptist Network,christianity.baptist.reformed.rbnet,42.0,,40.0
FGB,Reformed Bible Church,christianity.reformed.continental.reformed-bible,4.0,,4.0
375,Reformed Episcopal Church,christianity.anglican.continuing.rec,114.0,,75.0
380,Reformed Presbyterian Church General Assembly,christianity.reformed.presbyterian.rpcga,12.0,,12.0
382,"Reformed Presbyterian Church, Hanover Presbytery",christianity.reformed.presbyterian.hanover,15.0,,15.0
FHG,Remnant: Charity Ministries and related,christianity.anabaptist.mennonite.remnant,32.0,,29.0
408,Shinto,shinto,9.0,,4.0
F49,Southern Illinois Christian Conference,christianity.reformed.congregational.southern-illinois,10.0,,3.0
421,Southern Methodist Church,christianity.methodist.holiness.southern,73.0,,47.0
F51,Sovereign Grace Churches,christianity.baptist.reformed.sovereign-grace,65.0,,59.0
F52,Syro-Russian Orthodox Catholic Church,christianity.orthodox.other.syro-russian,8.0,,7.0
425,Tao,daoism,22.0,,17.0
F54,The local churches,christianity.other.local-churches,320.0,,221.0
FGQ,Twelve Tribes,christianity.other.twelve-tribes,29.0,,27.0
FER,Unification Church,unification,45.0,,44.0
FGV,Union American Methodist Episcopal Church,christianity.methodist.african.uame,51.0,,20.0
437,Union of Messianic Jewish Congregations,christianity.messianic.umjc,55.0,,49.0
F57,"United American Free Will Baptist Denomination, Inc.",christianity.baptist.freewill.uafwb,29.0,,19.0
FGN,United Church of God,christianity.adventist.ucg,186.0,,185.0
FG5,United Episcopal Church of North America,christianity.anglican.continuing.uecna,24.0,,23.0
454,United Pentecostal Church International,christianity.pentecostal.oneness.upci,4549.0,,1692.0
124,"Unity Churches, Association of",newthought.unity,578.0,,353.0
461,Unity of the Brethren,christianity.moravian.unity-of-the-brethren,24.0,,15.0
FFQ,Vanguard Presbytery,christianity.reformed.presbyterian.vanguard,18.0,,17.0
462,Vedanta Society,hinduism.vedanta,36.0,,34.0
179,Venture Church Network,christianity.baptist.venture,748.0,,307.0
FJ5,Westminster Evangelical Presbyterian Church,christianity.reformed.presbyterian.wepc,2.0,,2.0
490,Zoroastrian,zoroastrianism,33.0,,29.0
,,,,,1.0
