name,rid,color,area_px,lon,lat,country,province,admin_divisions,flags
,581,#c0a2f7,1894,112.3042,27.0768,China,Hunan,most of Hengyang Xiàn (衡阳县) (also Hengyang Shì (衡阳市)),
,614,#c3dee6,7017,109.0522,27.0224,China,"Guizhou, Hunan","Tianzhu (天柱县) (also Jinping (锦屏县), Hunan, Cengong (岑巩县), Tongren (铜仁市), Sansui (三穗县))",
,611,#c3b8ed,2630,110.7557,27.0194,China,Hunan,"Dongkou (洞口县|洞口縣) (also Wugang (武冈市|武岡市), Shaoyang Xiàn (邵阳县))",
,712,#ceedb8,4153,106.8275,27.0104,China,Guizhou,Kaiyang (开阳县); Xiuwen (修文县); Xifeng (息烽县) (also Guiyang),
,642,#c6d4d8,7759,108.3118,26.8859,China,Guizhou,"Jianhe (剑河县) (also Zhenyuan (镇远县), Huangping (黄平县), Shibing (施秉县), Taijiang (台江县), Sansui (三穗县), Kaili (凯里市))",
,462,#b47dff,125,112.6105,26.8689,China,Hunan,part of central Hengyang Shì (衡阳市) (also Hengnan (衡南县|衡南縣)),
,976,#e2d5c0,16131,100.9759,26.8042,China,"Yunnan, Sichuan","Lijiang (丽江市) minus Lijiang (also Sichuan, Chuxiong Yi Autonomous Prefecture (楚雄彝族自治州))",
,1197,#ebdac9,24118,99.1499,26.7908,China,"Yunnan, Kachin, Xizang","Weixin (威信县) (also Dali Bai Autonomous Prefecture (大理白族自治州), Lanping Bai and Pumi (兰坪白族普米族自治县), Lijiang (丽江市), Lushui (泸水县), Bijiang, Gongshan Derung and Nu (贡山独龙族怒族自治县), Zhongdian, Kachin, Xizang)",
,1395,#f2d5a9,3368,101.887,26.7754,China,Sichuan,Miyi (米易县); northern half of East (东区) (also Yanbian (盐边县)),
,717,#cfb3fa,2134,111.9089,26.7674,China,Hunan,Qidong (祁东县|祁東縣); northern part of Qiyang (祁阳县|祁陽縣),
,1149,#e9e0c0,9630,100.0266,26.7383,China,Yunnan,"most of Lijiang; Jianchuan (剑川县) (also Heqing (鹤庆县), Eryuan (洱源县), Dêqên Tibetan Autonomous Prefecture (迪庆藏族自治州), Nujiang Lisu Autonomous Prefecture (怒江傈僳族自治州))",
,1053,#e6d7c0,8917,102.4934,26.7153,China,"Sichuan, Yunnan","Huili (会理县); Huidong (会东县) (also Ningnan (宁南县), Dechang (德昌县), Yunnan)",
,535,#bcacf3,2924,112.7109,26.713,China,Hunan,Hengnan (衡南县|衡南縣); northern part of Laiyang (also Hengyang Shì (衡阳市)),
,390,#abee6c,170,106.6384,26.7092,China,贵州省,贵阳市白云区: 麦架镇、艳山红镇、沙文镇、都拉布依族乡、铝兴社区服务中心、白沙关社区服务中心、艳山红社区服务中心; 贵阳市观山湖区: 朱昌镇(部分)、金麦社区服务中心、金华园社区服务中心、新世界社区服务中心,
,905,#dfc19f,5826,118.4291,26.6944,China,Fujian,Nanping; southern half of Jian'ou (建瓯市); most of Gutian (古田县),
,700,#cdf8aa,1181,104.7399,26.6605,China,Guizhou,"southeastern small part of Weining Yi, Hui and Miao (威宁彝族回族苗族自治县); Zhongshan (钟山区); northern small part of Shuicheng (水城县)",
,1421,#f3c0ac,4453,119.2748,26.6259,China,Fujian,"Pingnan (屏南县); Luoyuan (罗源县) (also Lianjiang (连江县), Jiaocheng (蕉城区), Gutian (古田县), Fuzhou)",
,133,#77e942,79,106.7486,26.6215,China,贵州省,贵阳市云岩区: 黔灵镇、头桥社区服务中心、贵乌社区服务中心、延中社区服务中心、黔东社区服务中心、中天社区服务中心、三桥社区服务中心; 贵阳市乌当区: 东风镇(部分)、新天社区服务中心(部分)、高新社区服务中心(部分)、创新社区服务中心、顺新社区服务中心、振新社区服务中心,
,558,#bde8c9,3060,105.7721,26.6117,China,Guizhou,Zhijin (织金县) (also Anshun (安顺市)),
,556,#bdddc2,5341,113.6316,26.6088,China,"Hunan, Jiangxi",Chaling (茶陵县|茶陵縣); Ling; Anren (安仁县|安仁縣) (also Jiangxi),
,235,#95ee6c,143,106.5694,26.6049,China,贵州省,贵阳市观山湖区: 金华镇、朱昌镇(部分)、金源社区服务中心、金岭社区服务中心、世纪城社区服务中心、逸景社区服务中心、碧海社区服务中心; 贵阳市清镇市: 百花社区服务中心; 贵阳市云岩区: 金惠社区服务中心(部分)、金关社区服务中心、金鸭社区服务中心、普天社区服务中心、荷塘社区服务中心,
,790,#d8aeff,1946,111.59,26.6025,China,Hunan,Lengshuitan (冷水滩区); northeastern part of Daxiang (大祥区|大祥區) (also Qiyang (祁阳县|祁陽縣)),
,731,#d0bbf2,3081,110.8531,26.5802,China,"Hunan, Guangxi",Xinning (新宁县|新寧縣); most of Wugang (武冈市|武岡市) (also Guangxi),
,49,#4ee10a,29,106.7022,26.5544,China,贵州省,贵阳市南明区: 后巢乡、云关乡(部分)、太慈社区服务中心、沙南社区服务中心、遵义社区服务中心、油榨社区服务中心、沙冲社区服务中心,
,605,#c2edae,2596,106.3822,26.5367,China,Guizhou,Qingzhen (清镇市); Pingba (平坝县); southwestern part of Guiyang,
,1104,#e8f2ae,4809,116.0999,26.5073,China,Jiangxi,Ningdu (宁都县); Shicheng (石城县),
,661,#c8e1de,8801,110.0091,26.5028,China,"Hunan, Guizhou, Guangxi","Suining (绥宁县|綏寧縣); Chengbu Miao (城步苗族自治县|城步苗族自治縣); Jing (also Tongdao Dong (通道侗族自治县|通道侗族自治縣), Huitong (会同县|會同縣), Guizhou, Guangxi)",
,647,#c6e8d2,5454,107.2493,26.4978,China,Guizhou,"Guiding (贵定县); Fuquan (福泉市); Longli (龙里县) (also Duyun (都匀市), Qiandongnan Miao and Dong Autonomous Prefecture (黔东南苗族侗族自治州))",
,1486,#f5edb4,5829,103.3813,26.4975,China,"Yunnan, Guizhou","Huize (会泽县) (also Zhaotong (昭通市), Guizhou)",
,160,#7fe152,279,106.7448,26.4905,China,贵州省,贵阳市花溪区: 孟关苗族布依族乡、小孟社区服务中心、溪北社区服务中心、花孟社区服务中心、贵筑社区服务中心、三江社区服务中心、阳光社区服务中心; 贵阳市南明区: 小碧布依族苗族乡、永乐乡、云关乡、龙洞社区服务中心、二戈寨社区服务中心、见龙社区服务中心; 贵阳市乌当区: 高新社区服务中心(部分),
,552,#bdccd0,3556,107.9308,26.413,China,Guizhou,Leishan (雷山县); most of Kaili (凯里市); Danzhai (丹寨县); most of Majiang (麻江县),
,391,#accdd5,1651,112.8391,26.3817,China,Hunan,most of Laiyang (also Changning (常宁市|常寧市)),
,1203,#ebeea4,3874,115.5097,26.3448,China,Jiangxi,"Xingguo (兴国县) (also Yudu (于都县), Ruijin (瑞金市))",
,715,#cfa4f3,3001,112.2431,26.3151,China,Hunan,"most of Changning (常宁市|常寧市); southeastern half of Qiyang (祁阳县|祁陽縣) (also Chenzhou (郴州市), Qidong (祁东县|祁東縣))",
,956,#e1eebd,5888,114.5972,26.3127,China,"Jiangxi, Hunan","Suichuan (遂川县); Wan’an (万安县) (also Gan (赣县), Nankang (南康市), Jinggangshan (井冈山市), Hunan)",
,850,#dbeead,4489,104.102,26.3062,China,"Yunnan, Guizhou",most of Xuanwei (宣威市) (also Guizhou),
,769,#d4eec3,4304,105.0793,26.2748,China,Guizhou,most of Shuicheng (水城县); Liuzhi (六枝特区) (also Pan (盘县)),
,663,#c8f3ab,1325,105.9815,26.2565,China,Guizhou,most of Anshun; southern part of Puding (普定县),
,792,#d8b1f2,4160,111.5196,26.1598,China,Hunan,Lingling (零陵区|零陵區); most of Daxiang (大祥区|大祥區); most of Shuangpai (双牌县|雙牌縣),
,827,#dac191,5072,117.5135,26.14,China,Fujian,Yong'an (永安市); Sha (沙县) (also Shanming),
,482,#b5dfd0,4181,113.2055,26.1074,China,Hunan,"Yongxing (永兴县|永興縣); most of Zixing (资兴市|資興市) (also Guiyang (桂阳县|桂陽縣), Hengyang (衡阳市))",
,1233,#ed8e4c,110,119.3275,26.1066,China,福建省,福州市晋安区: 新店镇、鼓山镇、岳峰镇、茶园街道、王庄街道; 福州市鼓楼区: 五凤街道、华大街道、温泉街道(部分); 福州市马尾区: 马尾镇(部分); 福州市台江区: 鳌峰街道,
